Day,CO2,aISO3
1,2.945176199196001e-6,THA
1,2.1026381283154336e-6,LAO
1,9.270291290974913e-6,KHM
1,3.2541957943589835e-6,MMR
1,7.927153338486928e-7,VNM
2,3.125783620937036e-6,THA
2,1.0267042595526815e-6,LAO
2,4.5647117166478144e-6,KHM
2,2.127252932920612e-6,MMR
2,2.663143919925766e-7,VNM
3,3.0047855452878404e-6,THA
3,3.594354600166772e-6,LAO
3,5.258967832076095e-6,KHM
3,2.268417354511242e-6,MMR
3,6.945526793391859e-7,VNM
4,6.280927069053509e-6,THA
4,1.9807503609335778e-6,LAO
4,1.5012065170005556e-6,KHM
4,1.216416193358354e-5,MMR
4,2.9003950486497133e-7,VNM
5,5.754526127197366e-6,THA
5,1.4157961106597977e-6,LAO
5,3.422644095753084e-6,KHM
5,7.471334607425545e-6,MMR
5,9.952684849966317e-7,VNM
6,1.0436084024741845e-6,THA
6,1.6563094424036034e-6,LAO
6,4.2485745876230585e-6,KHM
6,8.790450883130328e-6,MMR
6,5.640645585410268e-7,VNM
7,1.1696480646087554e-6,THA
7,1.0462774776723188e-6,LAO
7,3.5691466677399504e-6,KHM
7,4.669102213285943e-6,MMR
7,3.9828533234524873e-7,VNM
8,2.1761859782197925e-6,THA
8,1.331571959962839e-6,LAO
8,4.491163866743013e-6,KHM
8,5.574511833278441e-6,MMR
8,7.126430779044102e-7,VNM
9,2.8105361836452876e-6,THA
9,8.517315521187573e-7,LAO
9,2.5768438218522855e-6,KHM
9,4.610975686748522e-6,MMR
9,6.278257993856001e-7,VNM
10,5.6711916682333075e-6,THA
10,2.083658038017468e-6,LAO
10,1.986681639151667e-6,KHM
10,1.2867314966338894e-5,MMR
10,7.39037265974929e-7,VNM
11,2.9208579585019513e-6,THA
11,1.4383349678885983e-6,LAO
11,2.7254223412156417e-6,KHM
11,1.0619953649502114e-5,MMR
11,2.5771403857632924e-7,VNM
12,3.83575762364327e-6,THA
12,2.007144549004068e-6,LAO
12,2.6254803032407385e-6,KHM
12,1.0198536332106314e-5,MMR
12,4.608603175461584e-7,VNM
13,4.176212993362145e-6,THA
13,2.7105941456704014e-6,LAO
13,3.000337086624474e-6,KHM
13,4.860385935819416e-6,MMR
13,4.056994301178579e-7,VNM
14,3.2390710349028158e-6,THA
14,4.528530919517044e-6,LAO
14,2.9110713494421352e-6,KHM
14,3.0190206130113718e-6,MMR
14,7.159052809243246e-7,VNM
15,3.04422854543831e-6,THA
15,3.699931352448898e-6,LAO
15,1.7817559767164366e-6,KHM
15,3.952010676718035e-6,MMR
15,4.5225996412993986e-7,VNM
16,3.4490382838234266e-6,THA
16,2.905140071223922e-6,LAO
16,2.8651039432518046e-6,KHM
16,4.771120198637158e-6,MMR
16,3.2028902377726943e-7,VNM
17,5.925050375967871e-6,THA
17,4.547807573725842e-6,LAO
17,1.9872747669734354e-6,KHM
17,3.2509335913389894e-6,MMR
17,6.948492432501014e-7,VNM
18,4.387959625748201e-6,THA
18,2.281169602680169e-6,LAO
18,2.516937911849422e-6,KHM
18,3.5543184721946152e-6,MMR
18,3.837537007108866e-7,VNM
19,1.5181106599220434e-6,THA
19,2.4241134077363107e-6,LAO
19,2.6085761603191356e-6,KHM
19,1.1616111826231506e-5,MMR
19,7.716592961744781e-7,VNM
20,4.065298090683738e-6,THA
20,3.7536094203228786e-6,LAO
20,2.1400051810894423e-6,KHM
20,9.51110118662914e-6,MMR
20,4.4365961071372807e-7,VNM
21,3.031476297269466e-6,THA
21,2.333957978821222e-6,LAO
21,3.015758409991505e-6,KHM
21,1.6089778422230924e-5,MMR
21,6.904007845865556e-7,VNM
22,4.082795361427118e-6,THA
22,3.1572193954931775e-6,LAO
22,2.9330170788490574e-6,KHM
22,1.0997776071995081e-5,MMR
22,6.124044760185864e-7,VNM
23,5.951148000127557e-6,THA
23,2.261003256738677e-6,LAO
23,3.4736530884284576e-6,KHM
23,1.0276532640674498e-5,MMR
23,4.531496558626609e-7,VNM
24,6.2824098886083455e-6,THA
24,4.417616016838754e-6,LAO
24,3.112734808857304e-6,KHM
24,1.5746950541224966e-5,MMR
24,7.707696044417147e-7,VNM
25,5.108906493157897e-6,THA
25,2.335737362286676e-6,LAO
25,2.3220954223850433e-6,KHM
25,2.515069559210613e-5,MMR
25,4.2883141516842166e-7,VNM
26,5.42267111089515e-6,THA
26,4.068263729792676e-6,LAO
26,3.5768573294233345e-6,KHM
26,3.67137224782853e-5,MMR
26,5.990591000278168e-7,VNM
27,5.533882577484502e-6,THA
27,3.72039426230127e-6,LAO
27,3.95408662409424e-6,KHM
27,2.422334024270677e-5,MMR
27,6.121079121076371e-7,VNM
28,5.729911322592567e-6,THA
28,5.119582793950295e-6,LAO
28,2.323281678028561e-6,KHM
28,2.4528801070938702e-5,MMR
28,1.080678891337332e-6,VNM
29,7.869916503681885e-6,THA
29,4.001240285928146e-6,LAO
29,1.1245703501512475e-6,KHM
29,7.795182398133876e-6,MMR
29,6.005419195823789e-7,VNM
30,4.818273860471037e-6,THA
30,6.507205333074022e-6,LAO
30,1.5602227352705134e-6,KHM
30,5.609506374765212e-6,MMR
30,7.242090704297039e-7,VNM
