"","Day","PM25","aISO3"
"1",1,49.7956374635364,"THA"
"2",1,36.8885231205063,"LAO"
"3",1,211.1389190942,"KHM"
"4",1,90.7811659311447,"MMR"
"5",1,12.3906363318512,"VNM"
"6",2,62.7472424217614,"THA"
"7",2,20.3428502043421,"LAO"
"8",2,104.277297331866,"KHM"
"9",2,41.7089845581728,"MMR"
"10",2,3.82812728135717,"VNM"
"11",3,33.1687208152765,"THA"
"12",3,69.3705409621186,"LAO"
"13",3,130.994878943845,"KHM"
"14",3,47.5778770147863,"MMR"
"15",3,11.9273536214495,"VNM"
"16",4,28.9411451844496,"THA"
"17",4,38.6681477283126,"LAO"
"18",4,35.5818530959701,"KHM"
"19",4,46.7103100184808,"MMR"
"20",4,5.43655973939077,"VNM"
"21",5,18.7044349404162,"THA"
"22",5,26.9400346879545,"LAO"
"23",5,72.8533823820696,"KHM"
"24",5,58.4152105639546,"MMR"
"25",5,19.2770098142322,"VNM"
"26",6,14.3008312233824,"THA"
"27",6,30.7236713541166,"LAO"
"28",6,78.0877999785086,"KHM"
"29",6,123.634583690908,"MMR"
"30",6,12.1478723228516,"VNM"
"31",7,20.5459595345809,"THA"
"32",7,19.6300331739328,"LAO"
"33",7,53.3548866791486,"KHM"
"34",7,94.7388963089399,"MMR"
"35",7,9.22019640555285,"VNM"
"36",8,32.2837444478076,"THA"
"37",8,25.6575443455896,"LAO"
"38",8,81.3433523860502,"KHM"
"39",8,106.744592100624,"MMR"
"40",8,13.2833501976149,"VNM"
"41",9,42.7593499516934,"THA"
"42",9,15.8231840128863,"LAO"
"43",9,54.6625238909717,"KHM"
"44",9,70.7294391001446,"MMR"
"45",9,10.8131538669968,"VNM"
"46",10,77.4185063760078,"THA"
"47",10,29.3638060288037,"LAO"
"48",10,48.5189502448926,"KHM"
"49",10,81.4139570579903,"MMR"
"50",10,12.9071143430298,"VNM"
"51",11,42.9663280310794,"THA"
"52",11,26.9593784336914,"LAO"
"53",11,59.7315524613591,"KHM"
"54",11,66.5028306566046,"MMR"
"55",11,5.64643938063755,"VNM"
"56",12,50.4523576313082,"THA"
"57",12,34.6678611098958,"LAO"
"58",12,56.1781063694675,"KHM"
"59",12,80.2958885543904,"MMR"
"60",12,8.10696383838708,"VNM"
"61",13,58.3919980690699,"THA"
"62",13,41.3878783789382,"LAO"
"63",13,61.1794318297752,"KHM"
"64",13,60.9888959342658,"MMR"
"65",13,7.60305926193758,"VNM"
"66",14,47.1871333508983,"THA"
"67",14,83.7545502921703,"LAO"
"68",14,63.170870453402,"KHM"
"69",14,60.1629179912948,"MMR"
"70",14,13.4545423473876,"VNM"
"71",15,45.2179400348692,"THA"
"72",15,51.4147089817252,"LAO"
"73",15,38.9428289177784,"KHM"
"74",15,70.4093001081968,"MMR"
"75",15,8.49383875312755,"VNM"
"76",16,60.3708632579677,"THA"
"77",16,46.1154898370672,"LAO"
"78",16,69.1045644582345,"KHM"
"79",16,81.721522615209,"MMR"
"80",16,6.95891252889466,"VNM"
"81",17,80.6846978437044,"THA"
"82",17,81.9439756911848,"LAO"
"83",17,47.0188427629863,"KHM"
"84",17,60.6958381863498,"MMR"
"85",17,13.4893610897143,"VNM"
"86",18,78.9456951019458,"THA"
"87",18,40.0115708697489,"LAO"
"88",18,55.7554455251137,"KHM"
"89",18,56.8522359084029,"MMR"
"90",18,7.97639355466219,"VNM"
"91",19,34.0536971827452,"THA"
"92",19,44.9945197716066,"LAO"
"93",19,57.9877137831663,"KHM"
"94",19,86.4143153310113,"MMR"
"95",19,12.6411378391456,"VNM"
"96",20,83.2274332208363,"THA"
"97",20,69.8522002309702,"LAO"
"98",20,45.3707556261918,"KHM"
"99",20,103.016085109813,"MMR"
"100",20,7.85259358194511,"VNM"
"101",21,59.2440900687859,"THA"
"102",21,40.7920910102379,"LAO"
"103",21,62.0131472710411,"KHM"
"104",21,125.036038069555,"MMR"
"105",21,11.5511177668643,"VNM"
"106",22,73.2566994806867,"THA"
"107",22,54.2176177390199,"LAO"
"108",22,56.9112343329008,"KHM"
"109",22,99.9085123571597,"MMR"
"110",22,9.62931662789085,"VNM"
"111",23,100.721916865402,"THA"
"112",23,37.6970916923139,"LAO"
"113",23,66.4844540981545,"KHM"
"114",23,141.525614123082,"MMR"
"115",23,6.84575161633299,"VNM"
"116",24,93.5453871969653,"THA"
"117",24,70.3715798040093,"LAO"
"118",24,69.8154471140703,"KHM"
"119",24,111.254586419212,"MMR"
"120",24,17.3851914811511,"VNM"
"121",25,92.2213078012659,"THA"
"122",25,39.2910163410448,"LAO"
"123",25,53.3984101070571,"KHM"
"124",25,129.67273392272,"MMR"
"125",25,9.83726189456401,"VNM"
"126",26,68.937241057609,"THA"
"127",26,57.1172452250001,"LAO"
"128",26,79.0491841416392,"KHM"
"129",26,105.108111211272,"MMR"
"130",26,11.3509099984862,"VNM"
"131",27,74.33994924196,"THA"
"132",27,53.2842820072087,"LAO"
"133",27,85.8630185775064,"KHM"
"134",27,102.820713277869,"MMR"
"135",27,13.2088767765274,"VNM"
"136",28,73.3804994534036,"THA"
"137",28,71.0631187141083,"LAO"
"138",28,53.3278054351171,"KHM"
"139",28,110.804844330826,"MMR"
"140",28,19.2615348176424,"VNM"
"141",29,99.9259217283229,"THA"
"142",29,57.7536544597483,"LAO"
"143",29,25.3683553468212,"KHM"
"144",29,154.40564722208,"MMR"
"145",29,12.8974424701612,"VNM"
"146",30,55.6964471006155,"THA"
"147",30,82.917933289044,"LAO"
"148",30,39.0550226430531,"KHM"
"149",30,108.829847891076,"MMR"
"150",30,10.5200961190809,"VNM"
