"","Day","PM25","aISO3"
"1",1,2.53381367477037e-07,"THA"
"2",1,1.78361762966145e-07,"LAO"
"3",1,8.27798564245849e-07,"KHM"
"4",1,3.0982188806866e-07,"MMR"
"5",1,7.28458644790403e-08,"VNM"
"6",2,2.6867426793639e-07,"THA"
"7",2,8.54663433698255e-08,"LAO"
"8",2,4.36793879340704e-07,"KHM"
"9",2,1.87069509799605e-07,"MMR"
"10",2,2.43970351809737e-08,"VNM"
"11",3,2.10481968613216e-07,"THA"
"12",3,3.09770741244381e-07,"LAO"
"13",3,4.75320224728688e-07,"KHM"
"14",3,1.89793078192451e-07,"MMR"
"15",3,6.30640343357249e-08,"VNM"
"16",4,3.34474657371031e-07,"THA"
"17",4,1.69347135187012e-07,"LAO"
"18",4,1.32444701469875e-07,"KHM"
"19",4,6.17380529162992e-07,"MMR"
"20",4,2.5829146260779e-08,"VNM"
"21",5,2.88979557175065e-07,"THA"
"22",5,1.2530971948299e-07,"LAO"
"23",5,3.5838579772135e-07,"KHM"
"24",5,4.55462470202467e-07,"MMR"
"25",5,9.04020119127302e-08,"VNM"
"26",6,8.39319386414636e-08,"THA"
"27",6,1.3989935110851e-07,"LAO"
"28",6,4.59605362969042e-07,"KHM"
"29",6,6.49091560215829e-07,"MMR"
"30",6,5.66451078887397e-08,"VNM"
"31",7,1.04761482828993e-07,"THA"
"32",7,8.90338343632719e-08,"LAO"
"33",7,3.90851244432304e-07,"KHM"
"34",7,3.79407142499929e-07,"MMR"
"35",7,3.56365498162334e-08,"VNM"
"36",8,1.94588092968587e-07,"THA"
"37",8,1.12331212822251e-07,"LAO"
"38",8,4.34965380372747e-07,"KHM"
"39",8,4.20260668392597e-07,"MMR"
"40",8,6.26548597414945e-08,"VNM"
"41",9,2.42781188145259e-07,"THA"
"42",9,7.50451779230269e-08,"LAO"
"43",9,2.40351713992018e-07,"KHM"
"44",9,3.02162651132914e-07,"MMR"
"45",9,5.5149063278585e-08,"VNM"
"46",10,5.05650291526011e-07,"THA"
"47",10,1.87951792518417e-07,"LAO"
"48",10,1.82261708317401e-07,"KHM"
"49",10,6.59320925071585e-07,"MMR"
"50",10,6.70023398051899e-08,"VNM"
"51",11,2.71730290687043e-07,"THA"
"52",11,1.27994927757624e-07,"LAO"
"53",11,2.31989208222437e-07,"KHM"
"54",11,5.98532924416264e-07,"MMR"
"55",11,2.30416443375865e-08,"VNM"
"56",12,3.54536999194378e-07,"THA"
"57",12,1.76392610231413e-07,"LAO"
"58",12,2.51258774269465e-07,"KHM"
"59",12,6.10283907294312e-07,"MMR"
"60",12,4.1710235199338e-08,"VNM"
"61",13,3.90314202777376e-07,"THA"
"62",13,2.38753375733305e-07,"LAO"
"63",13,2.96165685986225e-07,"KHM"
"64",13,3.5992020244972e-07,"MMR"
"65",13,3.63909654743455e-08,"VNM"
"66",14,2.8147376071215e-07,"THA"
"67",14,4.02487146955725e-07,"LAO"
"68",14,2.797219819806e-07,"KHM"
"69",14,2.30045628899845e-07,"MMR"
"70",14,6.28594470386099e-08,"VNM"
"71",15,2.71934877984159e-07,"THA"
"72",15,3.27659343035883e-07,"LAO"
"73",15,1.68861240356363e-07,"KHM"
"74",15,3.02443958666446e-07,"MMR"
"75",15,3.80788106755445e-08,"VNM"
"76",16,3.11317932678813e-07,"THA"
"77",16,2.60899950646015e-07,"LAO"
"78",16,2.72817160702968e-07,"KHM"
"79",16,3.46762681904003e-07,"MMR"
"80",16,2.72868307527239e-08,"VNM"
"81",17,5.31696811789975e-07,"THA"
"82",17,3.90761737489817e-07,"LAO"
"83",17,1.92273699169972e-07,"KHM"
"84",17,2.46220812078006e-07,"MMR"
"85",17,5.88827814509351e-08,"VNM"
"86",18,3.90467643250212e-07,"THA"
"87",18,1.98347384553075e-07,"LAO"
